.	A	B	 C	 D	E	F	G	H	I	J	K	L	M	O	P	Q	R	S	T	U	V	W	X	Y	Z
s1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s4	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s5	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s6	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s7	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s8	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s9	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s10	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s11	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s12	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s13	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
s14	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0
s15	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0	0
s16	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0	0
s17	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0	0
s18	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0	0
s19	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0	0
s20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0	0
s21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0	0
s22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0	0
s23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0	0
s24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1	0
s25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2	1
s26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3	2
s27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	3
s28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5
s29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3
s30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
s31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
