.	A	B	 C	 D	E	F	G	H	I	J	K	L	M	O	P	Q	R	S	T	U	V	W	X	Y	Z						
s1	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0
s2	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0	0	0	0	0	0	0	0
s3	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0	0	0	0	0	0	0
s4	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0	0	0	0	0	0
s5	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0	0	0	0	0
s6	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0	0	0	0
s7	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0	0	0
s8	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0	0
s9	12	13	14	15	16	17	19	20	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0	0
s10	11	12	13	14	15	16	19	20	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	0
s11	10	11	12	13	14	15	19	20	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0
s12	9	10	11	12	13	14	19	20	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
s13	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2
s14	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3
s15	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4
s16	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5
s17	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6
s18	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8	7
s19	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9	8
s20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10	9
s21	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11	10
s22	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12	11
s23	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13	12
s24	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14	13
s25	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15	14
s26	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16	15
s27	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17	16
s28	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18	17
s29	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19	18
s30	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	19
s31	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
